종목코드,회사명,induty_code
033630,에스케이브로드밴드(주),61210
066350,(주)티엔아이,292
039850,(주)태창파로스,46
039530,(주)씨앤케이인터내셔널,06200
090120,잘만테크(주),263
065180,(주)해피드림,49301
053330,(주)영진코퍼레이션,29176
004320,주식회사 호반산업,41221
101970,우양에이치씨(주),2512
053740,국제엘렉트릭코리아(주),29271
032420,(주)터보테크,2642
091690,(주)디지텍시스템스,263
